C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
130|BD+85 324                          |*  |18 48 12.9708299719 +85 37 01.315901079|     ~| 9.95 | 9.44 |     ~|     ~|G0             |   1|   0
131|BD+85 325                          |PM*|18 47 18.1816843299 +85 52 02.037665833|     ~|10.13 | 9.62 |     ~|     ~|G0             |   1|   0
132|HD 185412                          |PM*|19 09 20.0760857844 +86 04 50.729739500|     ~| 9.11 | 7.97 |     ~|     ~|K0             |   2|   0
133|HD 185778                          |*  |19 11 15.7280476346 +86 04 45.164368458| 9.910| 9.510| 8.670|     ~|     ~|G5             |   7|   0
134|HD 187216                          |Pe*|19 24 18.3451130483 +85 21 57.185833557|     ~|11.2  | 9.56 |     ~|     ~|C3,3_CH5:      |  67|   2
135|BD+85 334                          |*  |19 33 53.2630772447 +85 42 46.945372068|     ~|10.91 | 9.81 |     ~|     ~|G8             |   0|   0
136|BD+85 335                          |*  |19 34 15.0871958284 +86 03 27.185429027|     ~|10.81 | 9.28 |     ~|     ~|K0             |   0|   0
137|HD 191079                          |*  |19 41 48.6537504733 +85 51 48.298402391|     ~| 9.04 | 8.82 |     ~|     ~|A5             |   4|   0
138|BD+85 339                          |*  |19 45 12.1930443237 +86 02 44.457573243|     ~| 9.81 | 9.21 |     ~|     ~|G0             |   1|   0
139|HD 193135                          |*  |19 53 48.6534759951 +85 45 31.779020259|     ~| 9.27 | 7.68 |     ~|     ~|K2             |   3|   0
140|BD+85 348                          |*  |20 09 22.8414821256 +85 55 28.158975830|     ~|10.03 | 9.64 |     ~|     ~|A5             |   0|   0
141|BD+85 349                          |PM*|20 12 33.1534357302 +85 35 48.293922484|     ~|10.19 | 9.68 |     ~|     ~|F8             |   0|   0
142|BD+85 351                          |*  |20 24 59.5114453385 +85 59 27.692445355|     ~|10.23 | 9.61 |     ~|     ~|G5             |   0|   0
143|BD+85 352                          |*  |20 29 32.2915660833 +86 00 59.262897471|     ~|10.19 | 9.73 |     ~|     ~|F0             |   0|   0
144|BD+84 431                          |*  |18 53 30.5511055341 +85 13 33.020597166|     ~|10.08 | 9.20 |     ~|     ~|K0             |   0|   0
145|BD+84 452                          |*  |19 58 58.3188740123 +85 01 04.190820282|     ~|10.25 | 9.97 |     ~|     ~|A0             |   0|   0
146|BD+84 455                          |*  |19 58 10.3752502516 +85 20 48.961405418|     ~| 9.54 | 9.10 |     ~|     ~|F5             |   0|   0
147|BD+84 457                          |*  |20 00 19.7879488949 +85 10 03.341439765|     ~|10.37 | 9.92 |     ~|     ~|F5             |   0|   0
148|BD+86 326                          |*  |21 31 53.0732598949 +86 45 51.479316062|     ~|10.51 | 8.73 |     ~|     ~|M2             |   1|   0
149|BD+86 327                          |*  |21 34 22.0356842090 +86 44 06.943926342|     ~|10.22 | 9.71 |     ~|     ~|G0             |   1|   0
150|BD+86 328                          |*  |21 37 10.4113122736 +86 47 16.133728901|     ~|10.82 | 9.69 |     ~|     ~|G8             |   0|   0
151|HD 221525                          |PM*|23 27 00.9133817219 +87 18 27.030422836|     ~| 5.790| 5.560|     ~|     ~|A7IV           |  46|   0
